id,Type,StatUnmarrieds,City,State,PostalCode,GenderCode,BirthDate,MarriedaritalStatUnmarrieds,EnrolledDate,Living statUnmarrieds
0001F70B-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500064,MALE,7-Nov-91,Married,15-Aug-18,couple with children
0001F71D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Nashik,MAHARASHTRA,422013,MALE,28-Apr-88,Married,15-Aug-18,couple with children
0001F725-9FE7-11e8-9E9C-00505682069A,Individual,Active,Mumbai,MAHARASHTRA,400052,MALE,8-Sep-77,Married,15-Aug-18,couple with children
0001F729-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500001,FEMALE,26-Sep-00,Married,15-Aug-18,couple with children
0001F72A-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500016,MALE,10-Jan-90,Married,15-Aug-18,couple with children
0001F72C-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500037,MALE,12-Jun-82,Married,15-Aug-18,couple with children
0001F72E-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500007,MALE,14-Mar-71,Married,15-Aug-18,couple with children
0001F72F-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500016,FEMALE,20-Apr-60,Married,15-Aug-18,couple with children
0001F732-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500032,MALE,3-Aug-59,Married,15-Aug-18,couple with children
0001F736-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084,MALE,23-Jan-82,Married,15-Aug-18,couple with children
0001F738-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500062,MALE,2-Jan-76,Married,15-Aug-18,couple with children
0001F73A-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500001,FEMALE,10-Sep-96,Married,15-Aug-18,couple with children
0001F73E-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500052,MALE,2-Jun-74,Married,15-Aug-18,couple with children
0001F741-9FE7-11e8-9E9C-00505682069A,Individual,Active,Nellore,ANDHRA PRADESH,524003,FEMALE,13-Sep-86,Married,15-Aug-18,couple with children
0001F745-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500003,MALE,15-Mar-83,Married,15-Aug-18,couple with children
0001F748-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500004,MALE,7-Aug-78,Married,15-Aug-18,couple with children
0001F76D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,501218,MALE,23-Aug-81,Married,15-Aug-18,couple with children
0001F777-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500064,MALE,10-Sep-81,Married,15-Aug-18,couple with children
0001F789-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500013,MALE,19-Nov-95,Married,15-Aug-18,couple with children
0001F78F-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500080,MALE,22-Jul-94,Married,15-Aug-18,couple with children
0001F7A9-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500049,MALE,20-Mar-66,Married,15-Aug-18,couple with children
0001F7C8-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500011,FEMALE,9-Dec-82,Married,15-Aug-18,couple with children
0001F7E4-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500001,MALE,10-Oct-79,Married,15-Aug-18,couple with children
0001F7E8-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500017,MALE,26-Oct-96,Married,15-Aug-18,couple with children
0001F7FC-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500072,FEMALE,25-Apr-91,Married,15-Aug-18,couple with children
0001F7FF-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500042,MALE,14-May-75,Married,15-Aug-18,couple with children
0001F801-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500072,MALE,15-Feb-69,Married,15-Aug-18,couple with children
0001F803-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500100,MALE,23-Dec-92,Married,15-Aug-18,couple with children
0001F806-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500010,FEMALE,31-Mar-92,Married,15-Aug-18,couple with children
0001F80B-9FE7-11e8-9E9C-00505682069A,Individual,Active,Nashik,MAHARASHTRA,422013,MALE,26-May-76,Married,15-Aug-18,couple with children
0001F811-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500004,MALE,13-Dec-78,Married,15-Aug-18,couple with children
0001F820-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500042,FEMALE,9-Aug-85,Married,15-Aug-18,couple with children
0001F829-9FE7-11e8-9E9C-00505682069A,Individual,Active,Nalgonda,TELANGANA,508001,FEMALE,4-Aug-82,Married,15-Aug-18,couple with children
0001F82B-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500061,MALE,5-Jun-87,Married,15-Aug-18,couple with children
0001F848-9FE7-11e8-9E9C-00505682069A,Individual,Active,Lucknow,UTTAR PRADESH,226022,MALE,16-Dec-82,Married,15-Aug-18,couple with children
0001F84D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,501301,MALE,2-Feb-89,Married,15-Aug-18,couple with children
0001F851-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500018,MALE,3-Jan-86,Married,15-Aug-18,couple with children
0001F86D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Secunderabad,TELANGANA,500049,MALE,5-Nov-87,Married,15-Aug-18,couple with children
0001F87A-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500001,MALE,5-Sep-84,Married,15-Aug-18,couple with children
